City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2021-10-31 01:33:58,22.8909,-109.9124,80.51,75,14,4.0
1,Cockburn Town,TC,2021-10-31 01:37:00,21.4612,-71.1419,82.62,63,61,10.85
2,Vaini,TO,2021-10-31 01:37:00,-21.2,-175.2,82.56,78,20,9.22
3,Comodoro Rivadavia,AR,2021-10-31 01:37:01,-45.8667,-67.5,44.46,81,0,1.14
4,Rocha,UY,2021-10-31 01:33:26,-34.4833,-54.3333,64.31,91,56,8.52
5,Ayorou,NE,2021-10-31 01:37:01,14.7308,0.9174,84.54,15,57,4.36
6,Yellowknife,CA,2021-10-31 01:32:21,62.456,-114.3525,28.29,99,40,6.91
7,Upernavik,GL,2021-10-31 01:37:02,72.7868,-56.1549,30.34,66,100,7.45
8,Mpika,ZM,2021-10-31 01:37:02,-11.8343,31.4529,64.15,40,31,4.29
9,Lata,PT,2021-10-31 01:37:03,40.1629,-8.3327,67.93,95,100,11.14
10,Puerto Ayora,EC,2021-10-31 01:37:03,-0.7393,-90.3518,70.65,85,100,7.27
11,Ushuaia,AR,2021-10-31 01:37:03,-54.8,-68.3,46.06,57,0,14.97
12,Ilulissat,GL,2021-10-31 01:37:04,69.2167,-51.1,35.62,75,20,19.57
13,Alta Floresta,BR,2021-10-31 01:37:04,-9.8756,-56.0861,74.61,79,86,3.33
14,Ribeira Grande,PT,2021-10-31 01:37:04,38.5167,-28.7,70.86,88,100,18.19
15,San Pedro,PH,2021-10-31 01:37:05,14.35,121.0167,88.32,58,8,8.05
16,Rikitea,PF,2021-10-31 01:37:05,-23.1203,-134.9692,74.59,87,100,21.83
17,Alofi,NU,2021-10-31 01:37:06,-19.0595,-169.9187,80.49,61,100,9.22
18,Cape Town,ZA,2021-10-31 01:37:06,-33.9258,18.4232,61.09,87,0,1.01
19,Plaza De Caisan,PA,2021-10-31 01:37:06,8.7333,-82.8167,69.94,96,100,1.9
20,Hobart,AU,2021-10-31 01:37:07,-42.8794,147.3294,60.26,55,75,1.01
21,Port Alfred,ZA,2021-10-31 01:37:07,-33.5906,26.891,65.05,79,73,3.47
22,Bengkulu,ID,2021-10-31 01:35:19,-3.8004,102.2655,81.55,78,100,5.06
23,Mataura,NZ,2021-10-31 01:37:08,-46.1927,168.8643,45.75,98,100,12.71
24,Erzin,TR,2021-10-31 01:37:08,36.9559,36.2,63.32,70,30,6.78
25,Kargil,IN,2021-10-31 01:37:09,34.5667,76.1,28.13,53,1,3.6
26,Nome,US,2021-10-31 01:37:09,64.5011,-165.4064,17.67,63,40,5.75
27,Hermanus,ZA,2021-10-31 01:37:10,-34.4187,19.2345,59.9,88,70,9.28
28,Jamestown,US,2021-10-31 01:37:10,42.097,-79.2353,51.39,98,90,1.01
29,Egersund,NO,2021-10-31 01:37:11,58.4513,5.9997,53.13,87,100,12.44
30,Georgiyevskoye,RU,2021-10-31 01:37:11,58.731,45.024,40.3,95,99,5.21
31,Barrow,US,2021-10-31 01:37:12,71.2906,-156.7887,19.42,79,90,4.61
32,Cleveland,US,2021-10-31 01:33:27,41.4995,-81.6954,55.36,93,90,4.61
33,Bredasdorp,ZA,2021-10-31 01:37:13,-34.5322,20.0403,58.28,97,20,3.47
34,Londonderry,GB,2021-10-31 01:37:13,54.9981,-7.3093,46.31,85,100,15.61
35,Norman Wells,CA,2021-10-31 01:37:14,65.282,-126.8329,19.44,93,20,5.75
36,Saint Anthony,US,2021-10-31 01:37:14,45.0205,-93.218,53.49,73,1,3.0
37,Korla,CN,2021-10-31 01:37:14,41.7597,86.1469,48.49,37,2,3.89
38,Saskylakh,RU,2021-10-31 01:37:15,71.9167,114.0833,12.51,94,100,10.89
39,Arraial Do Cabo,BR,2021-10-31 01:35:57,-22.9661,-42.0278,70.68,88,100,17.29
40,Kodiak,US,2021-10-31 01:37:15,57.79,-152.4072,46.27,85,100,34.0
41,Kavaratti,IN,2021-10-31 01:37:16,10.5669,72.642,81.79,73,98,2.86
42,Male,MV,2021-10-31 01:37:16,4.1748,73.5089,82.35,78,40,14.97
43,Privolzhskiy,RU,2021-10-31 01:37:17,51.4,46.0333,44.1,83,7,8.7
44,Soyo,AO,2021-10-31 01:37:17,-6.1349,12.3689,77.14,85,100,9.33
45,Busselton,AU,2021-10-31 01:37:17,-33.65,115.3333,65.05,63,97,3.49
46,Zhangye,CN,2021-10-31 01:37:18,38.9342,100.4517,47.37,27,7,2.75
47,Rio Gallegos,AR,2021-10-31 01:34:54,-51.6226,-69.2181,48.25,49,0,10.36
48,Cherskiy,RU,2021-10-31 01:38:18,68.75,161.3,1.99,96,100,6.35
49,Straumen,NO,2021-10-31 01:38:19,63.8709,11.2999,53.6,72,100,8.61
50,Palmer,US,2021-10-31 01:38:19,42.1584,-72.3287,58.98,86,90,6.91
51,Sukumo,JP,2021-10-31 01:38:20,32.9333,132.7333,61.39,92,100,8.43
52,Albany,US,2021-10-31 01:34:32,42.6001,-73.9662,56.19,93,100,2.33
53,Tuktoyaktuk,CA,2021-10-31 01:38:21,69.4541,-133.0374,14.0,92,75,9.22
54,Sindor,RU,2021-10-31 01:38:22,62.8629,51.8905,30.94,96,100,3.74
55,Scarborough,GB,2021-10-31 01:38:23,54.2797,-0.4044,46.08,88,54,3.0
56,Veraval,IN,2021-10-31 01:38:23,20.9,70.3667,74.79,45,84,11.07
57,Grand Gaube,MU,2021-10-31 01:38:23,-20.0064,57.6608,70.38,84,0,3.0
58,Iwaki,JP,2021-10-31 01:38:24,37.05,140.8833,63.05,73,87,4.92
59,Punta Arenas,CL,2021-10-31 01:38:25,-53.15,-70.9167,44.71,65,0,13.8
60,Kaitangata,NZ,2021-10-31 01:38:25,-46.2817,169.8464,48.56,91,100,20.02
61,Carnarvon,AU,2021-10-31 01:38:25,-24.8667,113.6333,73.47,60,0,17.27
62,Payao,PH,2021-10-31 01:38:26,10.1833,122.95,79.57,85,100,10.6
63,Atuona,PF,2021-10-31 01:38:26,-9.8,-139.0333,78.35,70,20,12.15
64,Bialystok,PL,2021-10-31 01:38:27,53.1333,23.15,44.96,79,57,10.92
65,Rio Novo,BR,2021-10-31 01:38:27,-21.4575,-43.1253,65.8,96,100,2.62
66,Provideniya,RU,2021-10-31 01:38:28,64.3833,-173.3,13.93,72,84,10.94
67,Aykhal,RU,2021-10-31 01:38:28,66.0,111.5,13.77,98,100,8.48
68,Kavieng,PG,2021-10-31 01:33:58,-2.5744,150.7967,83.03,77,77,13.22
69,Susuman,RU,2021-10-31 01:38:29,62.7833,148.1667,1.9,90,98,2.15
70,New Norfolk,AU,2021-10-31 01:38:29,-42.7826,147.0587,59.92,40,100,11.05
71,Banda Aceh,ID,2021-10-31 01:38:30,5.5577,95.3222,77.97,87,100,10.13
72,Torbay,CA,2021-10-31 01:38:30,47.6666,-52.7314,39.97,69,1,3.44
73,Itarema,BR,2021-10-31 01:38:30,-2.9248,-39.9167,79.59,79,41,10.69
74,Lamu,KE,2021-10-31 01:38:31,-2.2717,40.902,79.02,82,37,7.23
75,Lebu,CL,2021-10-31 01:38:31,-37.6167,-73.65,51.49,89,100,10.85
76,Tezu,IN,2021-10-31 01:38:31,27.9167,96.1667,71.8,49,99,0.54
77,Zakamensk,RU,2021-10-31 01:38:32,50.3741,103.2863,34.14,71,21,2.77
78,Georgetown,MY,2021-10-31 01:38:32,5.4112,100.3354,80.53,87,40,1.01
79,Srednekolymsk,RU,2021-10-31 01:38:33,67.45,153.6833,-0.56,93,100,8.01
80,Kahului,US,2021-10-31 01:37:00,20.8947,-156.47,85.26,68,20,11.5
81,Teya,RU,2021-10-31 01:38:34,60.3778,92.6267,18.32,84,100,11.32
82,Anadyr,RU,2021-10-31 01:33:52,64.75,177.4833,7.3,92,90,24.0
83,Port Shepstone,ZA,2021-10-31 01:38:34,-30.7414,30.455,63.37,76,7,7.0
84,Kuusamo,FI,2021-10-31 01:38:35,65.9667,29.1833,41.04,100,90,4.61
85,Saint George,US,2021-10-31 01:34:15,37.1041,-113.5841,72.95,41,1,5.99
86,Ust-Maya,RU,2021-10-31 01:38:35,60.4167,134.5333,7.93,85,54,1.61
87,Kloulklubed,PW,2021-10-31 01:38:36,7.0419,134.2556,77.5,80,100,15.23
88,Elliot,ZA,2021-10-31 01:38:36,-31.3333,27.85,47.14,82,0,4.03
89,Colborne,CA,2021-10-31 01:39:36,44.0001,-77.8828,51.71,97,100,11.25
90,Zyryanka,RU,2021-10-31 01:39:37,65.75,150.85,3.76,82,100,3.29
91,Kontagora,NG,2021-10-31 01:39:37,10.3999,5.4695,73.35,44,100,2.21
92,Iqaluit,CA,2021-10-31 01:39:38,63.7506,-68.5145,37.13,74,90,10.0
93,Avarua,CK,2021-10-31 01:35:37,-21.2078,-159.775,77.05,57,60,11.5
94,Qaanaaq,GL,2021-10-31 01:39:38,77.484,-69.3632,2.21,54,0,7.87
95,Kurumkan,RU,2021-10-31 01:39:39,54.3,110.3,28.18,61,65,1.57
96,Lorengau,PG,2021-10-31 01:39:39,-2.0226,147.2712,83.71,76,96,7.4
97,Plettenberg Bay,ZA,2021-10-31 01:39:39,-34.0527,23.3716,59.18,88,59,1.41
98,Airai,TL,2021-10-31 01:39:40,-8.9266,125.4092,76.53,53,56,1.72
99,Hithadhoo,MV,2021-10-31 01:39:40,-0.6,73.0833,82.65,76,100,19.98
100,Alice Springs,AU,2021-10-31 01:38:18,-23.7,133.8833,60.35,82,90,6.91
101,Isangel,VU,2021-10-31 01:39:41,-19.55,169.2667,84.31,65,42,9.22
102,Cruzeiro Do Sul,BR,2021-10-31 01:39:41,-29.5128,-51.9853,75.07,84,100,2.33
103,Butaritari,KI,2021-10-31 01:39:41,3.0707,172.7902,82.49,73,2,5.41
104,Nhulunbuy,AU,2021-10-31 01:35:11,-12.2333,136.7667,90.21,55,40,8.05
105,Shubarkuduk,KZ,2021-10-31 01:39:42,49.1447,56.4872,36.86,74,5,7.99
106,Nikolskoye,RU,2021-10-31 01:35:20,59.7035,30.7861,45.39,93,82,7.09
107,Hasaki,JP,2021-10-31 01:39:43,35.7333,140.8333,63.28,71,91,11.14
108,Cidreira,BR,2021-10-31 01:39:43,-30.1811,-50.2056,67.73,88,99,21.54
109,Thompson,CA,2021-10-31 01:39:43,55.7435,-97.8558,33.96,93,90,6.91
110,Chapais,CA,2021-10-31 01:39:44,49.7834,-74.8492,46.18,75,100,7.0
111,Trincomalee,LK,2021-10-31 01:39:44,8.5711,81.2335,80.85,82,100,7.9
112,Hilo,US,2021-10-31 01:39:29,19.7297,-155.09,82.13,75,1,10.36
113,Touros,BR,2021-10-31 01:39:45,-5.1989,-35.4608,79.7,76,96,14.85
114,Biak,ID,2021-10-31 01:39:45,-0.9131,122.8766,83.82,65,91,1.23
115,Broome,US,2021-10-31 01:39:46,42.2506,-75.833,53.37,80,75,1.01
116,Segezha,RU,2021-10-31 01:39:46,63.7415,34.3222,43.27,89,99,13.65
117,Lavrentiya,RU,2021-10-31 01:39:47,65.5833,-171.0,13.46,80,37,7.25
118,Winnemucca,US,2021-10-31 01:39:47,40.973,-117.7357,59.05,58,1,4.61
119,Namwala,ZM,2021-10-31 01:39:48,-15.7504,26.4384,73.6,51,14,4.81
120,Kathu,TH,2021-10-31 01:39:49,7.9178,98.3332,81.7,97,100,5.03
121,Alyangula,AU,2021-10-31 01:39:49,-13.8483,136.4192,91.27,58,40,6.91
122,Katsuura,JP,2021-10-31 01:39:49,35.1333,140.3,66.11,75,98,6.87
123,Richards Bay,ZA,2021-10-31 01:39:50,-28.783,32.0377,61.16,84,8,6.42
124,Polson,US,2021-10-31 01:39:50,47.6936,-114.1632,39.72,71,9,8.01
125,Jasper,US,2021-10-31 01:39:51,37.2001,-94.3502,50.56,76,1,0.0
126,Pevek,RU,2021-10-31 01:39:51,69.7008,170.3133,-1.7,96,100,9.86
127,Belaya Gora,RU,2021-10-31 01:39:51,68.5333,146.4167,5.43,96,99,4.25
128,Trelew,AR,2021-10-31 01:39:52,-43.249,-65.3051,46.17,66,2,13.06
129,Bunol,ES,2021-10-31 01:39:52,39.4167,-0.7833,64.17,85,100,16.11
130,East London,ZA,2021-10-31 01:39:53,-33.0153,27.9116,62.33,81,22,4.99
131,Oranjemund,NA,2021-10-31 01:39:53,-28.55,16.4333,58.78,95,17,3.22
132,Atar,MR,2021-10-31 01:39:53,20.5169,-13.0499,80.38,25,99,4.21
133,Vila Do Maio,CV,2021-10-31 01:39:54,15.1333,-23.2167,74.19,81,100,16.06
134,Geraldton,AU,2021-10-31 01:39:54,-28.7667,114.6,70.21,49,0,10.36
135,Nova Olinda Do Norte,BR,2021-10-31 01:39:55,-3.8881,-59.0942,78.62,72,45,1.5
136,Tasiilaq,GL,2021-10-31 01:39:31,65.6145,-37.6368,24.96,65,100,4.18
137,San Quintin,MX,2021-10-31 01:40:55,30.4833,-115.95,63.27,86,48,8.9
138,La Ronge,CA,2021-10-31 01:40:56,55.1001,-105.2842,34.05,64,90,11.5
139,Bluff,NZ,2021-10-31 01:40:56,-46.6,168.3333,49.51,76,100,28.23
140,Haines Junction,CA,2021-10-31 01:40:56,60.7522,-137.5108,40.95,52,100,11.5
141,Longyearbyen,SJ,2021-10-31 01:40:27,78.2186,15.6401,21.04,86,20,3.44
142,Kyren,RU,2021-10-31 01:40:57,51.6828,102.1408,37.47,54,33,1.45
143,Bergerac,FR,2021-10-31 01:40:57,44.8333,0.5,59.22,94,90,5.75
144,Sao Desiderio,BR,2021-10-31 01:40:58,-12.3633,-44.9733,80.47,50,100,3.15
145,Souillac,MU,2021-10-31 01:39:46,-20.5167,57.5167,70.36,94,40,5.75
146,Umea,SE,2021-10-31 01:40:58,63.8284,20.2597,42.73,100,90,1.14
147,Kapaa,US,2021-10-31 01:39:27,22.0752,-159.319,84.18,76,90,4.61
148,Nanortalik,GL,2021-10-31 01:40:03,60.1432,-45.2371,34.23,72,4,3.6
149,San Cristobal,VE,2021-10-31 01:40:59,7.7669,-72.225,66.38,99,100,1.74
150,Bojonegoro,ID,2021-10-31 01:40:59,-7.1502,111.8817,88.05,60,43,5.41
151,Concordia,AR,2021-10-31 01:39:48,-31.393,-58.0209,77.79,64,0,1.99
152,Limon,CR,2021-10-31 01:41:00,10.0,-83.0333,78.08,85,100,6.71
153,Biltine,TD,2021-10-31 01:41:01,14.5333,20.9167,78.64,17,12,7.52
154,Dunedin,NZ,2021-10-31 01:39:20,-45.8742,170.5036,53.46,71,100,24.05
155,Sao Filipe,CV,2021-10-31 01:41:02,14.8961,-24.4956,80.33,72,100,12.24
156,Mahebourg,MU,2021-10-31 01:39:36,-20.4081,57.7,70.25,94,40,5.75
157,Marienburg,PL,2021-10-31 01:38:32,54.0359,19.0266,49.87,75,8,12.84
158,Mpulungu,ZM,2021-10-31 01:41:03,-8.7623,31.1141,76.5,69,93,1.48
159,Port Lincoln,AU,2021-10-31 01:41:03,-34.7333,135.8667,64.87,51,0,10.67
160,Hickory,US,2021-10-31 01:36:47,35.7332,-81.3412,56.28,93,90,0.0
161,Narsaq,GL,2021-10-31 01:41:04,60.9167,-46.05,28.62,75,50,4.97
162,Tadine,NC,2021-10-31 01:41:05,-21.55,167.8833,77.43,67,2,1.12
163,Bilma,NE,2021-10-31 01:41:05,18.6853,12.9164,77.92,29,42,16.46
164,Ulaangom,MN,2021-10-31 01:41:05,49.9811,92.0667,34.72,65,100,1.97
165,Mahanoro,MG,2021-10-31 01:40:44,-19.9,48.8,69.44,92,24,4.79
166,Cosala,MX,2021-10-31 01:41:06,24.4125,-106.6908,76.12,91,0,0.98
167,Changli,CN,2021-10-31 01:41:06,39.7042,119.1506,54.18,61,51,11.95
168,Pinerolo,IT,2021-10-31 01:41:07,44.8833,7.35,51.49,90,100,1.45
169,Dzerzhinsk,RU,2021-10-31 01:41:07,56.2389,43.4631,42.62,100,18,6.71
170,Suluq,LY,2021-10-31 01:41:08,31.6682,20.2521,69.51,69,67,18.63
171,Ixtapa,MX,2021-10-31 01:41:08,20.7,-105.2,74.88,95,17,1.01
172,Whitehorse,CA,2021-10-31 01:41:09,60.7161,-135.0538,38.17,65,75,14.97
173,Boende,CD,2021-10-31 01:41:09,-0.2167,20.8667,70.75,97,100,1.7
174,Sola,VU,2021-10-31 01:41:09,-13.8833,167.55,81.1,67,10,13.24
175,Mana,GF,2021-10-31 01:41:10,5.6592,-53.7767,78.4,85,19,5.7
176,Hanover,DE,2021-10-31 01:41:10,52.3705,9.7332,55.71,83,20,1.01
177,Morro Bay,US,2021-10-31 01:41:11,35.3658,-120.8499,66.74,90,98,1.01
178,Lazaro Cardenas,MX,2021-10-31 01:41:11,17.9583,-102.2,78.84,81,7,2.28
179,Maralal,KE,2021-10-31 01:41:12,1.0968,36.698,59.31,82,69,6.06
180,Rafaela,AR,2021-10-31 01:41:12,-31.2503,-61.4867,82.98,38,4,5.01
181,Rawson,AR,2021-10-31 01:42:13,-43.3002,-65.1023,47.1,68,13,15.95
182,Ingham,US,2021-10-31 01:42:13,42.6,-84.3833,50.18,92,90,6.91
183,Bandarbeyla,SO,2021-10-31 01:42:13,9.4942,50.8122,78.21,80,98,10.16
184,Maceio,BR,2021-10-31 01:41:18,-9.6658,-35.7353,76.44,88,0,4.61
185,Makakilo City,US,2021-10-31 01:42:14,21.3469,-158.0858,82.15,59,1,10.36
186,Keffi,NG,2021-10-31 01:42:14,8.8486,7.8736,73.45,81,100,2.26
187,Severo-Kurilsk,RU,2021-10-31 01:38:58,50.6789,156.125,42.6,81,66,16.22
188,Viedma,AR,2021-10-31 01:42:12,-40.8135,-62.9967,50.85,66,100,19.91
189,Belmonte,BR,2021-10-31 01:42:15,-15.8631,-38.8828,77.5,85,93,6.08
190,Jalu,LY,2021-10-31 01:42:15,29.0331,21.5482,67.24,46,6,7.61
191,Ancud,CL,2021-10-31 01:42:16,-41.8697,-73.8203,53.13,67,0,4.47
192,Inta,RU,2021-10-31 01:40:33,66.0317,60.1659,8.44,91,96,7.36
193,Tiksi,RU,2021-10-31 01:42:16,71.6872,128.8694,11.79,77,100,12.12
194,Baruun-Urt,MN,2021-10-31 01:42:17,46.6806,113.2792,29.32,23,0,5.91
195,Poquoson,US,2021-10-31 01:40:46,37.1224,-76.3458,59.02,86,1,6.91
196,Malazgirt,TR,2021-10-31 01:42:17,39.1427,42.5401,46.54,91,100,3.83
197,Port Elizabeth,ZA,2021-10-31 01:39:59,-33.918,25.5701,59.29,94,68,2.3
198,Xinmin,CN,2021-10-31 01:42:18,41.9908,122.8253,41.25,72,100,13.0
199,Concarneau,FR,2021-10-31 01:42:18,47.875,-3.9225,58.05,85,99,25.5
200,Pussi,EE,2021-10-31 01:42:18,59.36,27.0497,42.69,92,97,9.4
201,Cervo,ES,2021-10-31 01:42:19,43.6702,-7.4101,63.19,74,58,9.89
202,Mayumba,GA,2021-10-31 01:42:19,-3.432,10.6554,76.64,92,100,5.75
203,Kikwit,CD,2021-10-31 01:42:20,-5.041,18.8162,69.6,97,100,1.97
204,Mildura,AU,2021-10-31 01:42:20,-34.2,142.15,70.07,26,0,5.75
205,Tabas,IR,2021-10-31 01:42:20,33.5959,56.9244,64.62,29,4,6.71
206,Clyde River,CA,2021-10-31 01:42:21,70.4692,-68.5914,30.47,97,100,16.02
207,Marawi,PH,2021-10-31 01:42:21,7.9986,124.2928,72.64,80,100,3.51
208,Dikson,RU,2021-10-31 01:42:22,73.5069,80.5464,6.31,90,97,15.39
209,Morwell,AU,2021-10-31 01:42:22,-38.2333,146.4,61.05,30,0,5.5
210,Ostrovnoy,RU,2021-10-31 01:42:23,68.0531,39.5131,34.52,96,100,3.15
211,San Patricio,US,2021-10-31 01:42:23,28.017,-97.5169,71.69,38,0,7.65
212,Gdov,RU,2021-10-31 01:42:23,58.7406,27.8122,44.87,92,97,12.57
213,Berlevag,NO,2021-10-31 01:39:41,70.8578,29.0864,38.34,80,100,15.35
214,Flin Flon,CA,2021-10-31 01:42:24,54.7682,-101.865,33.46,73,97,10.67
215,Adrar,MR,2021-10-31 01:42:24,20.5022,-10.0711,79.05,39,100,6.26
216,Inirida,CO,2021-10-31 01:42:25,3.8653,-67.9239,73.49,97,100,2.66
217,Cayenne,GF,2021-10-31 01:41:33,4.9333,-52.3333,82.09,79,18,3.0
218,Saint-Philippe,RE,2021-10-31 01:39:25,-21.3585,55.7679,67.59,81,29,3.06
219,Broken Hill,AU,2021-10-31 01:40:21,-31.95,141.4333,64.11,22,94,8.05
220,Esso,RU,2021-10-31 01:42:25,55.9333,158.7,28.02,85,100,4.25
221,Khatanga,RU,2021-10-31 01:42:26,71.9667,102.5,4.86,96,100,1.41
222,Mvomero,TZ,2021-10-31 01:42:26,-6.25,38.6667,76.75,93,40,1.41
223,Bharthana,IN,2021-10-31 01:42:27,26.7571,79.2248,67.01,51,0,4.99
224,Mugur-Aksy,RU,2021-10-31 01:42:27,50.35,90.5,17.71,87,97,5.14
225,Quatre Cocos,MU,2021-10-31 01:40:16,-20.2078,57.7625,70.09,80,10,5.75
226,Carutapera,BR,2021-10-31 01:42:24,-1.195,-46.02,78.24,83,43,6.51
227,Petropolis,RU,2021-10-31 01:41:30,59.8944,30.2642,45.64,88,0,6.71
228,Kungurtug,RU,2021-10-31 01:42:28,50.5994,97.5228,32.23,55,32,2.15
229,Tuatapere,NZ,2021-10-31 01:42:29,-46.1333,167.6833,48.27,76,100,16.08
230,Snihurivka,UA,2021-10-31 01:42:29,47.0758,32.8052,41.2,88,0,8.84
